#,decision,year,title,authors,source,doi,abstract_decision_reason,reviewer1,reviewer2,final_decision,exclusion_reason
54,include,2020,Can Machine Learning Methods Produce Accurate and Easy-to-Use Preoperative Prediction Models of One-Year Improvements in Pain and Functioning After Knee Arthroplasty?,Alex H. S. Harris; Alfred C. Kuo; Thomas Bowe; Luisa Manfredi; Narlina Lalani; Nicholas J. Giori,The Journal of Arthroplasty,10.1016/j.arth.2020.07.026,"All three criteria are met: (1) procedure is TKA; (2) multiple machine learning methods are explicitly used for model development and validation; (3) primary outcomes are PROMs (KOOS Total, KOOS JR, and KOOS subscales including Pain, Symptoms, ADL, Quality of Life).",,,,
55,include,2020,Development of Machine Learning Algorithms to Predict Clinically Meaningful Improvement for the Patient-Reported Health State After Total Hip Arthroplasty,Kyle N. Kunze; Aditya V. Karhade; Alex J. Sadauskas; Joseph H. Schwab; Brett R. Levine,The Journal of Arthroplasty,10.1016/j.arth.2020.03.019,"All three criteria are met: (1) procedure is primary THA; (2) method includes five supervised machine learning algorithms (random forest, and others) with rigorous validation; (3) primary outcome is patient-reported health state (PRHS), a PROM, with clinically meaningful improvement as the prediction target.",,,,
56,include,2020,Natural Language Processing of Patient-Experience Comments After Primary Total Knee Arthroplasty,Patawut Bovonratwet; Tony S. Shen; Wasif Islam; Michael P. Ast; Steven B. Haas; Edwin P. Su,The Journal of Arthroplasty,10.1016/j.arth.2020.09.055,All three criteria are met: (1) primary TKA procedure; (2) machine-learning-based natural language processing applied to patient comments; (3) patient-reported outcome measures (KOOS Junior and pain scores) are analyzed as key outcomes alongside satisfaction data.,,,,
57,include,2021,Development and internal validation of machine learning algorithms to predict patient satisfaction after total hip arthroplasty,Siyuan Zhang; Jerry Yongqiang Chen; Hee Nee Pang; Ngai Nung Lo; Seng Jin Yeo; Ming Han Lincoln Liow,Arthroplasty,10.1186/s42836-021-00087-3,"All three criteria are met: (1) procedure is THA (primary); (2) multiple ML algorithms are developed and validated (Random Forest, XGBoost, SVM, Logistic LASSO); (3) primary outcome is patient satisfaction predicted using preoperative PROMs (SF-36, WOMAC, OHS) with postoperative satisfaction as the target PROM outcome.",,,,
58,include,2021,Development of machine learning algorithms to predict achievement of minimal clinically important difference for the KOOS‐PS following total knee arthroplasty,Akhil Katakam; Aditya V. Karhade; Austin K. Collins; David Shin; Charles R. Bragdon; Antonia F. Chen; Christopher M. Melnic; Joseph H. Schwab; Hany S. Bedair,Journal of Orthopaedic Research®,10.1002/jor.25125,"All three criteria are met: (1) study population underwent primary TKA; (2) multiple machine learning algorithms were developed and evaluated (elastic-net penalized logistic regression, and four other ML models); (3) primary outcome is KOOS-PS, a validated patient-reported outcome measure.",,,,
59,include,2021,Machine learning algorithms do not outperform preoperative thresholds in predicting clinically meaningful improvements after total knee arthroplasty,Siyuan Zhang; Bernard Puang Huh Lau; Yau Hong Ng; Xinyu Wang; Weiliang Chua,Knee Surgery Sports Traumatology Arthroscopy,10.1007/s00167-021-06642-4,"All three criteria are met: (1) study population underwent primary TKA; (2) machine learning algorithms were developed and validated (comparing ML performance against preoperative thresholds); (3) primary outcomes are PROMs (SF-36 PCS, SF-36 MCS, and WOMAC) with MCID attainment as the prediction target.",,,,
60,include,2021,Patient Factors That Matter in Predicting Hip Arthroplasty Outcomes: A Machine-Learning Approach,Jhase Sniderman; Roland B. Stark; Carolyn E. Schwartz; Hajra Imam; Joel Finkelstein; Markku Nousiainen,The Journal of Arthroplasty,10.1016/j.arth.2020.12.038,All three criteria are met: (1) the study population underwent THA (total hip arthroplasty); (2) a machine learning model (LASSO) was developed to predict outcomes; and (3) the primary outcome is a patient-reported outcome measure (HOOS — Hip Disability and Osteoarthritis Outcome Score).,,,,
61,include,2022,Can the Output of a Learned Classification Model Monitor a Person’s Functional Recovery Status Post-Total Knee Arthroplasty?,Jill Emmerzaal; Arne De Brabandere; Rob van der Straaten; Johan Bellemans; Liesbet De Baets; Jesse Davis; Ilse Jonkers; Annick Timmermans; Benedicte Vanwanseele,Sensors,10.3390/s22103698,"All three criteria are met: (1) procedure is TKA; (2) logistic regression is used as an ML/statistical classification model; (3) primary outcome is KOOS-ADL, a validated PROM for knee arthroplasty.",,,,
62,include,2022,"Computerized adaptive testing for the Oxford Hip, Knee, Shoulder, and Elbow scores",Conrad Harrison; Otho R. Plummer; Jill Dawson; Crispin Jenkinson; Audrey Hunt; Jeremy Rodrigues,Bone & Joint Open,10.1302/2633-1462.310.bjo-2022-0073.r1,"All three criteria are met: (1) procedure includes TKA and THA (OKS and OHS are primary outcomes); (2) machine learning method used (regression tree learning for CAT algorithms); (3) primary outcomes are PROMs (Oxford Knee Score and Oxford Hip Score, validated patient-reported instruments).",,,,
63,include,2022,Logistic Regression and Machine Learning Models Cannot Discriminate Between Satisfied and Dissatisfied Total Knee Arthroplasty Patients,"Munn, Joseph S.",JOURNAL OF ARTHROPLASTY,10.1016/j.arth.2021.10.017,"All three criteria are met: (1) study population underwent primary TKA; (2) multiple ML methods were used including extreme gradient boosting and gradient boosted trees alongside logistic regression; (3) primary outcome is patient satisfaction (a PROM-related outcome) predicted from pre-operative PROM subscales (KOOS/WOMAC, SF-12, Knee Society scores).",,,,
64,include,2022,Patient-Reported Outcomes for Function and Pain in Total Knee Arthroplasty Patients,Amanda Agnes Østervig Buus; Flemming Witt Udsen; Britt Laugesen; Anders El‐Galaly; Mogens Berg Laursen; Ole Hejlesen,Nursing Research,10.1097/nnr.0000000000000602,"All three criteria are met: (1) procedure is TKA; (2) multiple ML methods are used (random forest, stochastic gradient boosting, support vector machine); (3) primary outcome is a PROM (Oxford Knee Score functional and pain subcomponents).",,,,
65,include,2023,Coronal and Sagittal Component Position in Contemporary Total Knee Arthroplasty: Targeting Native Alignment Optimizes Clinical Outcomes,Hassan Farooq; Evan R. Deckard; Justin Carlson; Nathan Ghattas; R. Michael Meneghini,The Journal of Arthroplasty,10.1016/j.arth.2023.04.040,All three criteria are met: (1) procedure is TKA; (2) classification and regression tree machine learning models are used; (3) primary outcomes are PROMs (patient-reported outcome measures and MCIDs in PROM scores).,,,,
66,include,2023,Correlation between Harris hip score and gait analysis through artificial intelligence pose estimation in patients after total hip arthroplasty,Sang-Yeob Lee; Seong Jin Park; Jeong‐An Gim; Yang Jae Kang; Sung Hoon Choi; Sung‐Hyo Seo; Shin June Kim; Seung Chan Kim; Hyeon Su Kim; Jun‐Il Yoo,Asian Journal of Surgery,10.1016/j.asjsur.2023.05.107,"All three criteria are met: (1) procedure is THA (total hip arthroplasty); (2) method includes AI/ML models (random forest, K-means clustering, PCA); (3) primary outcome is Harris Hip Score (HHS), which is a validated patient-reported outcome measure for hip function.",,,,
67,include,2023,DEVELOPING AND EVALUATING <i>THE SMART CHOICE (KNEE)</i>: A PATIENT-FOCUSED TOOL TO PREDICT HEALTH-RELATED QUALITY OF LIFE OUTCOMES AFTER TOTAL KNEE ARTHROPLASTY,Yushy Zhou; M Dowsey; T Spelman; P Choong; C Schilling,Orthopaedic Proceedings,10.1302/1358-992x.2023.3.118,"All three criteria are met: (1) the study population underwent primary TKA for osteoarthritis; (2) the study develops and validates machine learning models (logistic regression and three ML algorithms) alongside statistical comparison; (3) the primary outcome is a patient-reported outcome measure (Veterans-RAND 12 utility score, a validated PROM assessing health-related quality of life).",,,,
68,include,2023,MODELING TO PREDICT THE PATIENTS' POSTOPERATIVE WOMAC SCORE BY FEATURES ENGINEERING AND GRADIENT BOOST TREE,"Sinlapasorn, Saranchai",SURANAREE JOURNAL OF SCIENCE AND TECHNOLOGY,,"All three criteria are met: (1) procedure is total knee replacement (TKA); (2) method uses multiple ML techniques including Gradient Boost Trees, Support Vector Machines, and Deep Learning; (3) primary outcome is postoperative WOMAC score, a validated PROM.",,,,
69,include,2023,MODELING TO PREDICT THE PATIENTS’ POSTOPERATIVE WOMAC SCORE BY FEATURES ENGINEERING AND GRADIENT BOOST TREE,Saranchai Sinlapasorn; Benjawan Rodjanadid; Jessada Tanthanuch; Bura Sindhupakorn; Arjuna Chaiyasena,Suranaree Journal of Science and Technology,10.55766/sujst-2023-03-e02049,"All three criteria are met: (1) procedure is total knee replacement (TKA); (2) method uses multiple ML techniques including Gradient Boost Trees, Support Vector Machines, and Deep Learning; (3) primary outcome is postoperative WOMAC score, a validated PROM.",,,,
70,include,2023,Medium-term patient's satisfaction after primary total knee arthroplasty: enhancing prediction for improved care,M. Ulivi; Luca Orlandini; Mario D’Errico; Riccardo Perrotta; Sofia Perfetti; Simona Ferrante; Linda Greta Dui,Orthopaedics & Traumatology Surgery & Research,10.1016/j.otsr.2023.103734,All three criteria are met: (1) primary TKA procedure; (2) machine learning algorithms explicitly used and compared to statistical models; (3) patient satisfaction (a PROM) at five years post-surgery is the primary outcome being predicted.,,,,
71,include,2023,Predicting whether patients will achieve minimal clinically important differences following hip or knee arthroplasty,Benedikt Langenberger; Daniel Schrednitzki; Andreas M. Halder; Reinhard Busse; Christoph Pross,Bone and Joint Research,10.1302/2046-3758.129.bjr-2023-0070.r2,"All three criteria are met: (1) study population underwent TKA and THA (primary procedures); (2) multiple AI/ML models were developed and validated including artificial neural networks, gradient boosting, random forest, LASSO, ridge regression, elastic net, and logistic regression as baseline; (3) primary outcomes are PROMs (EQ-5D-5L, EQ-VAS, HOOS-PS, KOOS-PS) with prediction of MCID achievement as the key secondary outcome.",,,,
72,include,2023,"The development of machine learning algorithms that can predict patients satisfaction using baseline characteristics, and preoperative and operative factors of total knee arthroplasty",Hee Seung Nam; Jade Pei Yuik Ho; Seong Yun Park; Joon Hee Cho; Yong Seuk Lee,The Knee,10.1016/j.knee.2023.08.018,"All three criteria are met: (1) the study population underwent primary TKA; (2) the study develops and validates ML models including XGBoost and logistic regression as a baseline; (3) the primary outcome is patient satisfaction following TKA, which is a PROM, with SF-36 and WOMAC explicitly mentioned as key predictive features.",,,,
73,include,2023,The utility of machine learning algorithms for the prediction of patient-reported outcome measures following primary hip and knee total joint arthroplasty.,Klemt C,Arch Orthop Trauma Surg,10.1007/s00402-022-04526-x,"All three criteria are met: (1) study population underwent primary THA and TKA; (2) four machine learning algorithms were developed and validated; (3) primary outcomes are PROMs (HOOS-PS, KOOS-PS, SF-10A Physical Function, PROMIS SF Physical and Mental).",,,,
74,include,2023,USING CLASSIFIER NEURAL NETWORKS TO ESTIMATE PERSONALIZED PATIENT-REPORTED OUTCOME MEASURES AFTER HIP ARTHROPLASTY,F. de Mello; Visakan Kadirkamanathan; J. Mark Wilkinson,Orthopaedic Proceedings,10.1302/1358-992x.2023.12.085,"All three criteria are met: (1) the study population underwent hip arthroplasty (THA); (2) a classifier neural network (AI/ML method) was developed and validated; (3) the primary outcome is Oxford Hip Score (OHS), a validated patient-reported outcome measure.",,,,
75,include,2023,Using Unsupervised Machine Learning to Predict Quality of Life After Total Knee Arthroplasty,Jennifer Hunter; Farzan Soleymani; Herna L. Viktor; Wojtek Michalowski; Stéphane Poitras; Paul E. Beaulé,The Journal of Arthroplasty,10.1016/j.arth.2023.09.027,"All three criteria are met: (1) study population underwent TKA; (2) unsupervised machine learning algorithm (spectral clustering) was used; (3) primary outcome is PROMIS GH-P, a validated patient-reported outcome measure.",,,,
76,include,2024,Artificial intelligence-based analysis of lower limb muscle mass and fatty degeneration in patients with knee osteoarthritis and its correlation with Knee Society Score,Kohei Kono; Tomofumi Kinoshita; Mazen Soufi; Yoshito Otake; Yuto Masaki; Keisuke Uemura; Tatsuhiko Kutsuna; Kazunori Hino; Takuma Miyamoto; Yasuhito Tanaka; Yoshinobu Sato; Masaki Takao,International Journal of Computer Assisted Radiology and Surgery,10.1007/s11548-024-03284-y,"All three criteria are met: (1) study population underwent TKA for end-stage knee osteoarthritis; (2) AI-based methods were used to segment and analyze muscle groups from CT images; (3) the primary outcome includes the Knee Society Scoring System (KSS), which contains patient-reported outcome measures for functional activities and symptoms.",,,,
77,include,2024,Identifying who are unlikely to benefit from total knee arthroplasty using machine learning models,Xiaodi Liu; Yingnan Liu; Mong Li Lee; Wynne Hsu; Ming Han Lincoln Liow,npj Digital Medicine,10.1038/s41746-024-01265-8,"All three criteria are met: (1) procedure is TKA; (2) machine learning models are developed and validated (image-only, clinical-data only, and multimodal); (3) primary outcomes are patient-reported measures (KSS, SF-36 with PCS/MCS, and OKS).",,,,
78,include,2024,"Improved Prediction of Postoperative Knee Function Using Preoperative Patient Factors and Intraoperative Measures of Bony Resection, Ligament Release, and Implant Alignment in Total Knee Arthroplasty: A Database Analysis of 363 Cases",Matthew Hickey; Parvez Anwar Khan; Joseph Baines; David J. Allen; Findlay Welsh; Kamal Deep; Alistair Ewen; François Leitner; Antony J. Hodgson; F. Picard,EPiC series in health sciences,10.29007/zjq1,"All three criteria are met: (1) the study population underwent TKA; (2) the study develops and validates multiple ML models (Support Vector Machine, XGBoost/Boosted Decision Tree, and linear regression as baseline); and (3) the primary outcome is the Oxford Knee Score (OKS), a validated PROM.",,,,
79,include,2024,Second opinion machine learning for fast-track pathway assignment in hip and knee replacement surgery: the use of patient-reported outcome measures,Andrea Campagner; Frida Milella; Giuseppe Banfi; Federico Cabitza,BMC Medical Informatics and Decision Making,10.1186/s12911-024-02602-3,"All three criteria are met: (1) the study population underwent hip and knee arthroplasty (THA/TKA); (2) machine learning models were developed and validated (Random Forest, interpretable models, cautious prediction); (3) the primary outcome is patient-reported outcome measures (PROMs) used to predict health status improvement and support fast-track pathway assignment.",,,,
80,include,2024,Surgical factors play a critical role in predicting functional outcomes using machine learning in robotic‐assisted total knee arthroplasty,Lisa Spahn Lundgren; Nathalie Willems; Robert Marchand; Cécile Batailler; Sébastien Lustıg,Knee Surgery Sports Traumatology Arthroscopy,10.1002/ksa.12302,"All three criteria are met: (1) the study population underwent TKA (robotic-assisted); (2) four machine learning algorithms were developed and evaluated to predict MCID status; and (3) the primary outcomes are PROMs (KOOS-JR, WOMAC Function, WOMAC Pain).",,,,
81,include,2025,A development of machine learning models to preoperatively predict insufficient clinical improvement after total knee arthroplasty,Geunwu Gimm; Byoungjun Jeon; Sung Eun Kim; Byeong Soo Kim; Hyuk‐Soo Han; Sungwan Kim,Journal of Orthopaedic Surgery and Research,10.1186/s13018-025-06206-z,"All three criteria are met: (1) the study population underwent primary TKA; (2) multiple machine learning models (ExtraTrees, and variety of other ML models) were developed and validated; (3) the primary outcome is WOMAC (Western Ontario and McMaster Universities Osteoarthritis Index), a validated patient-reported outcome measure.",,,,
82,include,2025,"A simplifed and internally validated model based on 82,526 total hip arthroplasties from the Swedish Arthroplasty Register","Alagha, M. A.",BONE & JOINT OPEN,10.1302/2633-1462,"All three criteria are met: (1) procedure is primary elective THA; (2) machine learning methods are used (gradient boosting machine and other ML models compared); (3) primary outcomes are PROMs (EQ-5D index, EQ-VAS, and combined scores with MCID thresholds).",,,,
83,include,2025,ABS1058 PREDICTING FUNCTIONAL OUTCOMES AFTER TOTAL KNEE ARTHROPLASTY USING MACHINE LEARNING ALGORITHMS,J.T. Lee; Bo Ri Kim; Sang Hyun Choi,Annals of the Rheumatic Diseases,10.1016/j.ard.2025.06.1236,"All three criteria are met: (1) procedure is TKA; (2) multiple ML algorithms are used (Linear Regression, Poisson Regressor, Tweedie Regressor, Passive Aggressive Regressor, ARD Regression) with SHAP interpretation; (3) primary outcomes include PROMs (WOMAC, EQ-5D, VAS) measured postoperatively at 3 months.",,,,
84,include,2025,Biopsychosocial based machine learning models predict patient improvement after total knee arthroplasty,Karen Ribbons; Jodie A. Cochrane; Sarah J. Johnson; Adrian Wills; Elizabeth Ditton; David Dewar; Matthew Broadhead; Ian Chan; Michael F. Dixon; Christopher James Dunkley; Richard Harbury; Aleksandar Jovanović; Anthony Leong; Peter Summersell; Chad Todhunter; Richard Verheul; Michael Pollack; Rohan Walker; Michael Nilsson,Scientific Reports,10.1038/s41598-025-88560-w,All three criteria are met: (1) procedure is TKA; (2) machine learning methods (Bayesian inference and machine learning models) are used; (3) primary outcomes are PROMs (SF-12 Physical Composite Score and WOMAC) measuring patient improvement at three months post-TKA.,,,,
85,include,2025,Can a Large Language Model Interpret Data in the Electronic Health Record to Infer Minimum Clinically Important Difference Achievement of Knee Osteoarthritis Outcome Score-Joint Replacement Score Following Total Knee Arthroplasty?,Zalikha L,J Arthroplasty,10.1016/j.arth.2025.03.049,"All three criteria are met: (1) study population underwent TKA; (2) a large language model (ChatGPT 3.5) was used as an AI method to predict outcomes; (3) the primary outcome is KOOS-JR (Knee Osteoarthritis Outcome Score-Joint Replacement), a validated PROM.",,,,
86,include,2025,Deep learning–based clustering for endotyping and post-arthroplasty response classification using knee osteoarthritis multiomic data,Jason S. Rockel; Divya Sharma; Osvaldo Espin‐Garcia; Katrina Hueniken; Amit Sandhu; Chiara Pastrello; Kala Sundararajan; Pratibha Potla; Noah Fine; Starlee S. Lively; Kim Perry; Nizar N. Mahomed; Khalid Syed; Igor Jurišica; Anthony V. Perruccio; Y. Raja Rampersaud; Rajiv Gandhi; Mohit Kapoor,Annals of the Rheumatic Diseases,10.1016/j.ard.2025.01.012,"All three criteria are met: (1) study population underwent TKA; (2) multimodal deep learning variational autoencoder with K-means clustering and machine learning framework employed; (3) primary outcome is WOMAC pain/function response classification post-TKA, which is a validated PROM.",,,,
87,include,2025,IMU-augmented Patient-related Outcome Measure for Knee Arthroplasty Patients,Ted Yeung; Sabina Yang; Shasha Yeung; Faseeh Zaidi; Sebastian Weaver; Scott M. Bolam; Megan Lovatt; Thor F. Besier; Jacob T. Munro; Michael Hanlon; A. Paul Monk; Justin Fernandez,Journal of Medical and Biological Engineering,10.1007/s40846-025-00974-z,"All three criteria are met: (1) the study population underwent total knee arthroplasty (TKA); (2) the study develops and validates machine learning models (random forest regressors); (3) the primary outcome is a patient-reported outcome measure (EQ-5D-5L score for quality of life, with Oxford Knee Score [OKS] also used as a PROM predictor).",,,,
88,include,2025,PREDICTING PATIENT-REPORTED OUTCOME MEASURES FOLLOWING HIP AND KNEE ARTHROPLASTY USING SUPERVISED MACHINE LEARNING,Samantha Davies; Amr Selim; Andrew Roberts; Geraint Thomas; Paul Cool,Orthopaedic Proceedings,10.1302/1358-992x.2025.2.020,"All three criteria are met: (1) the study population underwent primary hip and knee arthroplasty (THA/TKA); (2) supervised machine learning models (SGD, CART, SVM) were developed and validated; (3) primary outcomes were patient-reported outcome measures (Oxford Hip Score, Oxford Knee Score, EQ-5D-3L, EQ-5D-VAS).",,,,
89,include,2025,Prediction of quality-of-life improvement after total hip arthroplasty,M. Abdulhadi Alagha; Justin Cobb; Alexander D. Liddle; Henrik Malchau; Maziar Mohaddes; Ola Rolfson,Bone & Joint Open,10.1302/2633-1462.611.bjo-2025-0138.r1,"All three criteria are met: (1) procedure is primary elective THA; (2) machine learning models (gradient boosting machine and others) are developed and validated; (3) primary outcomes are PROMs (EQ-5D index, EQ-VAS) with validated patient-reported measures.",,,,
90,include,2025,Preoperatively predicting failure to achieve the minimum clinically important difference and substantial clinical benefit for total knee arthroplasty patients using machine learning,Jaeyoung Park; Emilie N. Miley; Xiang Zhong; Chancellor F. Gray,Knee Surgery and Related Research,10.1186/s43019-025-00289-y,"All three criteria are met: (1) the study population underwent TKA; (2) multiple ML models were developed and validated (random forest, extreme gradient boosting, support vector machine, penalized logistic regression); (3) the primary outcome is a PROM (KOOS JR, with PROMIS-10 as additional PROM), specifically predicting achievement of MCID and SCB thresholds.",,,,
91,include,2025,Preoperatively predicting failure to achieve the minimum clinically important difference and the substantial clinical benefit in patient-reported outcome measures for total hip arthroplasty patients using machine learning,Jaeyoung Park; Xiang Zhong; Emilie N. Miley; Chancellor F. Gray,BMC Musculoskeletal Disorders,10.1186/s12891-025-08339-y,"All three criteria are met: (1) procedure is THA (total hip arthroplasty); (2) multiple machine learning models were developed and evaluated (areas under ROC and precision-recall curves reported); (3) primary outcome is a PROM (Hip Disability and Osteoarthritis Outcome Score for Joint Replacement, with MCID and SCB as key endpoints).",,,,
92,include,2025,Role of AI in the analysis of total knee arthroplasty,Anuraag Mohanty; Priyankar Nanda; Preethiv Rajendran,Bioinformation,10.6026/973206300213725,"All three criteria are met: (1) procedure is primary TKA; (2) AI/ML method is used (ChatGPT-based model); (3) primary outcome is KOOS, a validated PROM.",,,,
93,include,2025,USING UNSUPERVISED MACHINE LEARNING TO PREDICT QUALITY OF LIFE AFTER TOTAL KNEE ARTHROPLASTY,Jane Hunter; Fazlollah Soleymani; Herna L. Viktor; Wojtek Michalowski; Stéphane Poitras; Paul E. Beaulé,Orthopaedic Proceedings,10.1302/1358-992x.2025.10.077,All three criteria are met: (1) the study population underwent TKA (primary procedure); (2) an unsupervised machine learning algorithm (spectral clustering) was used to identify patient clusters; and (3) the primary outcome is a patient-reported outcome measure (PROMIS GH scores measured pre-operatively and at 3-months and 1-year post-op).,,,,
94,include,2026,Analysis of the clinical efficacy of robot-assisted left total knee arthroplasty performed by surgeons with varying levels of experience,Hongping Wang; Mingyou Wang; Xiaoqin Yang; Heng Xiao; Shaojiang Liu; Zhuodong Tang; Xunzhou Song; Guocong Min; Yuping Lan,Journal of Robotic Surgery,10.1007/s11701-026-03166-2,"All three criteria are met: (1) the study population underwent TKA (left total knee arthroplasty); (2) the study compares robot-assisted versus conventional TKA, evaluating robotic technology's impact on outcomes; and (3) key outcomes include WOMAC scores and KSS (Knee Society Score), which are validated patient-reported outcome measures assessed at postoperative days 3 and 90.",,,,
95,include,2026,Early outcomes and the learning curve of two domestically produced surgical robot systems with different operational philosophies for total knee arthroplasty,Mingyou Wang; Zhu Mei; Yuping Lan; Xiaoqin Yang; Xunzhou Song; Zhuodong Tang; Zaihai Yang; Hongping Wang,Journal of Robotic Surgery,10.1007/s11701-026-03177-z,"All three criteria are met: (1) the study population underwent TKA; (2) the study evaluates robotic-assisted surgical systems (which employ AI/ML algorithms for surgical guidance and planning); and (3) key outcomes include patient-reported outcome measures (WOMAC, KSS, VAS, patient satisfaction) alongside clinical measures.",,,,
96,include,2026,Machine Learning Using Preoperative Patient Factors Can Predict the Severity of Pain Following Primary Total Hip Arthroplasty,Ayomide Michael Ade‐Conde; Issa Ahmed; Ajay Shah; Michael Hardisty; Cari Whyne; Bheeshma Ravi; Harman Chaudhry,The Journal of Arthroplasty,10.1016/j.arth.2026.04.023,"All three criteria are met: (1) primary THA procedure; (2) multiple ML models developed and validated (linear, tree-based ensemble, neural network approaches); (3) primary outcome is patient-reported pain severity measured on visual analog scale, with WOMAC and ICOAP as key preoperative predictors.",,,,
97,include,2026,SRS108 - Predicting patient-reported outcome measures and evaluating the impact of pre-operative comorbidities on outcomes of hip and knee arthroplasty using supervised machine learning,Ibrahim Abdelrahman; Amr Selim; Samantha Davies; A. Roberts; Geraint Thomas; Paul Cool,British journal of surgery,10.1093/bjs/znag018.105,"All three criteria are met: (1) study population underwent primary hip and knee arthroplasty (THA/TKA); (2) supervised machine learning models were developed and internally validated; (3) primary outcome was patient-reported outcome measures (Oxford Hip Score, Oxford Knee Score, EQ-5D) improvement following arthroplasty.",,,,
